times		sum of dislocation
0.050000	1727568541184.082520
0.100000	2922612704600.126465
0.150000	3619762928469.507813
0.200000	4032789047083.683594
0.250000	4272860420421.033203
0.300000	4051699312794.189453
0.350000	4148608470253.182129
0.400000	4204190512847.451660
0.450000	4235740430632.818848
0.500000	4255154609060.027832
0.550000	4266291789175.924805
0.600000	4273996248459.576172
0.650000	4277007609961.980957
0.700000	4278001915021.005859
0.750000	4277557656940.725098
0.800000	4278498615856.077148
0.850000	4275772313124.552246
0.900000	4275284186725.587891
0.950000	4275553364720.598145
